Band,Subject,Unit,AreaofStudy,Code,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The purpose of the text is closely connected with audience and context, but has another dimension – why is the writer creating this text?",,1,66
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The purpose of the text is closely connected with audience and context, but has another dimension – why is the writer creating this text?",,1,66
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The following four verbs offer overviews of purposes students can explore. Students can explore more than one purpose in their writing.,,1,67
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The following four verbs offer overviews of purposes students can explore. Students can explore more than one purpose in their writing.,,1,67
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Express: A student writer seeking to express would explore recounts, storytelling and/or narratives of imagination to engage with actions, events, experiences and/or ideas.",,1,68
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Express: A student writer seeking to express would explore recounts, storytelling and/or narratives of imagination to engage with actions, events, experiences and/or ideas.",,1,68
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Explain: A student writer seeking to explain would explore cause and effect, and possible consequences of actions, events, experiences and/or ideas.",,1,69
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Explain: A student writer seeking to explain would explore cause and effect, and possible consequences of actions, events, experiences and/or ideas.",,1,69
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Reflect: A student writer seeking to reflect would explore experiences of personal discovery that shape their understanding of actions, events, experiences and/or ideas.",,1,70
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Reflect: A student writer seeking to reflect would explore experiences of personal discovery that shape their understanding of actions, events, experiences and/or ideas.",,1,70
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Argue: A student writer seeking to argue would explore a point of view, would take a stand and propose solutions to convince others of actions, events, experiences and/or ideas.",,1,71
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Argue: A student writer seeking to argue would explore a point of view, would take a stand and propose solutions to convince others of actions, events, experiences and/or ideas.",,1,71
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Mentor texts,,1,72
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Mentor texts,,1,72
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The mentor texts provide opportunities for teachers to explore effective and cohesive writing through vocabulary, text structures and language features, and to consider the purpose, context and audience of the texts. Teachers can use the entire mentor text to provide insight into the overall intention and integrity of the text, and can use extracts to unpack the text structures, language features and vocabulary employed by the author, exploring how these elements successfully interweave with the ideas of the text.",,1,73
Year 11,English,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The mentor texts provide opportunities for teachers to explore effective and cohesive writing through vocabulary, text structures and language features, and to consider the purpose, context and audience of the texts. Teachers can use the entire mentor text to provide insight into the overall intention and integrity of the text, and can use extracts to unpack the text structures, language features and vocabulary employed by the author, exploring how these elements successfully interweave with the ideas of the text.",,1,73
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Reading and viewing strategies to draw out meanings in a text,,1,1
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Reading and viewing strategies to draw out meanings in a text,,1,1
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The dynamics of a text including characters’ motivations, the tensions in relationships, the function of settings, the complexities of plot and the role of point of view",,1,2
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The dynamics of a text including characters’ motivations, the tensions in relationships, the function of settings, the complexities of plot and the role of point of view",,1,2
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Ideas, concerns and conflicts in a text",,1,3
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Ideas, concerns and conflicts in a text",,1,3
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Vocabulary, text structures and language features in a text used to construct meaning",,1,4
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Vocabulary, text structures and language features in a text used to construct meaning",,1,4
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The historical context, and the social and cultural values in a text",,1,5
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The historical context, and the social and cultural values in a text",,1,5
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The features of analytical writing in response to a text, including the use of appropriate metalanguage",,1,6
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The features of analytical writing in response to a text, including the use of appropriate metalanguage",,1,6
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of small group and whole class discussion, including ways of developing constructive interactions and building on ideas of others in discussion",,1,7
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of small group and whole class discussion, including ways of developing constructive interactions and building on ideas of others in discussion",,1,7
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Comprehension strategies to develop fluent listening,,1,8
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Comprehension strategies to develop fluent listening,,1,8
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The conventions of discussion and debate,,1,9
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The conventions of discussion and debate,,1,9
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,10
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OKEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,10
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Apply reading and viewing strategies to a text,,1,1
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Apply reading and viewing strategies to a text,,1,1
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Read and engage with a text for meaning,,1,2
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Read and engage with a text for meaning,,1,2
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Engage in discussions to clarify, test and extend views about a text",,1,3
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Engage in discussions to clarify, test and extend views about a text",,1,3
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Employ appropriate metalanguage,,1,4
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Employ appropriate metalanguage,,1,4
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Explore and analyse:,,1,5
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Explore and analyse:,,1,5
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The dynamics of a text including characters’ motivations, the tensions in relationships, the function of settings, the complexities of plot and the role of point of view",explore and analyse:,2,6
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The dynamics of a text including characters’ motivations, the tensions in relationships, the function of settings, the complexities of plot and the role of point of view",explore and analyse:,2,6
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The ideas, concerns and conflicts in a text",explore and analyse:,2,7
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The ideas, concerns and conflicts in a text",explore and analyse:,2,7
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The historical context, and the social and cultural values in a text",explore and analyse:,2,8
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"The historical context, and the social and cultural values in a text",explore and analyse:,2,8
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Explore and analyse the impact of the vocabulary, text structures and language features on a text and how these elements shape meaning",,1,9
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Explore and analyse the impact of the vocabulary, text structures and language features on a text and how these elements shape meaning",,1,9
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan, construct and edit analytical writing that:",,1,10
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan, construct and edit analytical writing that:",,1,10
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Responds explicitly to set topics,"plan, construct and edit analytical writing that:",2,11
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Responds explicitly to set topics,"plan, construct and edit analytical writing that:",2,11
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develops and sustains ideas,"plan, construct and edit analytical writing that:",2,12
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develops and sustains ideas,"plan, construct and edit analytical writing that:",2,12
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Explores and refines the organisational structures of analytical writing,"plan, construct and edit analytical writing that:",2,13
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Explores and refines the organisational structures of analytical writing,"plan, construct and edit analytical writing that:",2,13
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Demonstrates knowledge of a text,"plan, construct and edit analytical writing that:",2,14
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Demonstrates knowledge of a text,"plan, construct and edit analytical writing that:",2,14
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Uses key evidence from a text to support ideas and analysis,"plan, construct and edit analytical writing that:",2,15
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Uses key evidence from a text to support ideas and analysis,"plan, construct and edit analytical writing that:",2,15
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Demonstrates understanding of purpose, audience and context","plan, construct and edit analytical writing that:",2,16
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Demonstrates understanding of purpose, audience and context","plan, construct and edit analytical writing that:",2,16
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Listen to a spoken text relevant to the wider study of a text,,1,17
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Listen to a spoken text relevant to the wider study of a text,,1,17
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply appropriate listening comprehension strategies to support understanding of a set text through engagement with a spoken, audio or audio visual source, such as:",,1,18
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply appropriate listening comprehension strategies to support understanding of a set text through engagement with a spoken, audio or audio visual source, such as:",,1,18
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Using prominent textual cues, such as stressed words and discourse markers","apply appropriate listening comprehension strategies to support understanding of a set text through engagement with a spoken, audio or audio visual source, such as:",2,19
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Using prominent textual cues, such as stressed words and discourse markers","apply appropriate listening comprehension strategies to support understanding of a set text through engagement with a spoken, audio or audio visual source, such as:",2,19
Year 12,English,Unit 3,Area of Study 1 - Reading and responding to texts,VCEE12AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Drawing from existing knowledge structures to frame, infer and create meaning from spoken texts to develop understanding of the historical context, and the social and cultural values in a text","apply appropriate listening comprehension strategies to support understanding of a set text through engagement with a spoken, audio or audio visual source, such as:",2,20
