Term,Definition,CrossReferences,ImageFiles,Subject
Quotient,"A quotient is the result of dividing one number or algebraic expression by another.

See also: division, remainder",division; remainder,,Mathematics
Quotition,"Quotition division is to identify how many parts are present when the whole is divided. For example, 15 people need to cross a river in boats that hold 3 people. How many boats are needed?

Quotition division and partition division provide complementary perspectives when developing ideas around grouping. For example, quotition identifies how many parts are generated by grouping, whereas partitioning identifies groups by magnitude.

For example, 12 = 2 + 3 + 7.

Quotition – 12 can be split into 3 groups.

Partition – The 3 groups are of magnitudes 2, 3 and 7.",,,Mathematics
Radian,"A radian is a measure of angle where one revolution of a unit circle from a fixed point corresponds to [FORMULA] radians. Thus, as a measure of angle, 180 degrees is equivalent to π radian, hence 1 radian is exactly [FORMULA] degrees or approximately 57.3 degrees.

See also: degree, pi",degree; pi,,Mathematics
Radius,"In the circle below, the line segment OA (interval OA) is called a radius of the circle.

See also: circle",circle,radius_1.png,Mathematics
Random event,A random (chance) event is an event that is not predictable.,,,Mathematics
Random number,"A random number is one whose value is governed by chance; for example, the number of dots showing when a fair die is tossed. The value of a random number cannot be predicted in advance.",,,Mathematics
Random number generator,"A true random number generator will produce random numbers based on some natural random physical process (for example, radioactive decay).

The [FORMULA] digit of the decimal expansion of a rational number is not random since these numbers can be predicted in advance. Selecting an arbitrary sequence of digits in the decimal expansion of an irrational real number can be used as a random number generator since the decimal expansion have no repetition. For example, the decimal expansion of pi, , could be used for this purpose.

Pseudo-random numbers are computer-generated random numbers found using an algorithm.

See also: random number",random number,,Mathematics
Random sample,"A subset of the population chosen such that every element of the population has an equal chance of being selected (that is, their selection is governed by chance). A random number generator, for example, could be used to select this random sample.

See also: random, random number generator",random; random number generator,,Mathematics
Random variable,"A random variable [FORMULA] is a function that assigns real numbers to events.

See also: event, random, real number, sample space, variable",event; random; real number; sample space; variable,,Mathematics
Range (relation),"A relation is a correspondence between 2 sets. When one of the sets is specified as the set of elements to which the correspondence is made, this set is called the co-domain of the relation. The subset of the co-domain to which elements of the domain are actually matched up, is called the range of the relation.

For example, if a correspondence is formed between the students in a class and their favourite colour, the students would be a natural choice for the domain of relation. The range corresponds to the actual set of favourite colours of the students. The co-domain is the set of all possible colours, not just the favourites of the class of students.

The range of a relation is, in general, a subset of its co-domain.

See also: domain",domain,,Mathematics
Range (statistics),"The range is the difference between the largest and smallest observations in a data set.

The range can be used as a measure of spread in a data set. It is sensitive to outliers and should be interpreted with care.

For example, for the set of data {2, 3, 4, 5, 6, 10, 12}, the range is",,,Mathematics
Rate,"A rate compares 2 quantities measured in different units. For example, the ratio of distance to time, known as speed, is a rate because distance and time are measured in different units (such as kilometres and hours). The value of the rate depends on the units in which the quantities are expressed.",,,Mathematics
Ratio,"A ratio compares magnitudes of sets, quantities of the same kind or algebraic expressions. It is often used as a comparison [FORMULA] of the size of 2 (or more) quantities relative to each other. For example, the ratio of the length of a side of a square to the length of a diagonal is [FORMULA] that is, ..

See also: fraction",fraction,,Mathematics
Rational number,"An element of the infinite set of numbers Q = { , where [FORMULA] and [FORMULA] are integers and [FORMULA] is not equal to zero}.

Rational numbers may be expressed in fraction form, either with a corresponding terminating decimal expansion, or with an infinite recurring decimal expansion. For example, both [FORMULA] and [FORMULA] = 0.444… are rational numbers.

Rational numbers may be positive or negative. For example, −17/5 is also a rational number.

See also: fraction, positive integer",fraction; positive integer,,Mathematics
Ray,"A ray comprises a half-line extending in one direction from a point, which is called the endpoint or vertex of the ray, as shown below. Intuitively, the notion of a ray corresponds to the visual image of rays of light emanating from a source represented as a point.

A point on a straight line divides it into 2 half-lines, each of which corresponds to a ray.

A ray may include an arrow to indicate direction.

See also: line segment, ray, vertex",line segment; ray; vertex,"ray_1.png,ray_2.png,ray_3.png,ray_4.png,ray_5.png,ray_6.png",Mathematics
Real numbers,"The numbers generally used in mathematics, in scientific work and in everyday life are the real numbers. Real numbers are any of the elements of the infinite set R, which comprises the union of the set of rational numbers with the set of irrational numbers. A rational real number has either a terminating (finite) decimal expansion, such as , or an infinite recurring decimal expansion: for example, 
Some well-known irrational real numbers are the square root of 2 (), pi (), and the golden ratio, phi (). These can be used in exact calculations: for example, [FORMULA]  or [FORMULA]  .

Often rational approximations to irrational real numbers are used in arithmetic calculations, with a suitable accuracy for the purpose of computation: for example, [FORMULA] and [FORMULA] , correct to 3 decimal places.

All real numbers can be expressed using an infinite decimal expansion: for example, the natural number 2 can be written as either: 2 = 1.9999999999… or  2 = 2.0000000000…

The set of real numbers, R, includes the natural numbers, N, integers, Z, rational numbers, Q and irrational numbers, Q′ as proper subsets, illustrated in the Venn diagram below.

The real numbers are often represented using the infinite set of points on a continuous geometric line. This representation is referred to as the real number line. A one-to-one correspondence between the set of real numbers and the infinite set of points on the line is taken as given, with a specific point, O (the origin) selected to correspond to zero. A point X to the right of O is taken to correspond to the positive real number x, where the magnitude of x measures the length of the line segment OX. The point X′ to the left of O located by the endpoint of the line segment OX after a half-turn rotation about O, corresponds to the real number -x.

Compass and unmarked straight-edge constructions can be used to determine the exact location of any rational number and some irrational numbers. For example, on the real number line.

See also: irrational number, number line, rational number",irrational number; number line; rational number,"real_numbers_1.gif,real_numbers_2.gif",Mathematics
Reciprocal,"The reciprocal of a real number [FORMULA] is the multiplicative inverse, that is [FORMULA] or [FORMULA]  , provided [FORMULA] is non-zero. For example, the reciprocal of 3 is . Note that the reciprocal of zero is undefined since is undefined.

See also: inverse",inverse,,Mathematics
Rectangle,"A rectangle is a quadrilateral in which all angles are right angles.

See also: angle, polygon",angle; polygon,rectangle_1.png,Mathematics
Rectangular hyperbola,[See: hyperbola],hyperbola,,Mathematics
Recurring decimal,"A recurring decimal is a decimal that contains a pattern of digits that repeats indefinitely after a certain number of places. For example, , which is the decimal expansion of the rational number:

Every recurring decimal is the decimal expansion of a rational number.

See also: rational number",rational number,,Mathematics
Recursion,"Recursion is the process of carrying out the current step of a process using the results of the previous step (or steps) of the same process. For example, the sequence of numbers

{3, 6, 12, 24, … } can be described using recursion as ‘start at 3 and make the next term in the sequence twice the previous term in the sequence’.

Students often intuitively define sequences using recursion. Skip-counting by ‘counting by fives starting from 12’ is an example of a recursive process.

See also: sequence, skip counting",sequence; skip counting,,Mathematics
Reflection,"A reflection is a transformation of the plane where each point in the plane is reflected in a given mirror line. To reflect the point A in an axis of reflection, a line has been drawn at right angles to the axis of reflection and the point A′ is marked at the same distance from the axis of reflection as A, but on the other side.

The point A′ is called the reflection image of A. A reflection, then, is a transformation that moves each point to its reflection image. The points on the mirror line are invariant (unchanged) under this transformation.

See also: image",image,reflection_1.png,Mathematics
Reflex angle,[See: angle],angle,,Mathematics
Regular polygon (shape),[See: polygon],polygon,,Mathematics
Related denominators,"Denominators are related when one is a multiple of the other. For example, the fractions [FORMULA]  and [FORMULA]  have related denominators because 9 is a multiple of 3.

Fractions with related denominators are often more easily added and subtracted than fractions with unrelated denominators. For example, to add [FORMULA]  and [FORMULA] , we know the equivalent fraction of [FORMULA]  is [FORMULA]  , so we can then compute .

See also: equivalent fractions, fraction",equivalent fractions; fraction,,Mathematics
Relation,"A relation is a correspondence (map) between the elements of 2 sets. For example, the relation ‘has the favourite colour’ between the set of students in a class (the domain of the relation) and the set of colours (the co-domain of the relation).

A relation can be represented as a set of ordered pairs, a map (arrow diagram) or a graph.

See also: correspondence, domain, graph",correspondence; domain; graph,,Mathematics
Remainder,"If [FORMULA] and [FORMULA] are 2 natural numbers with [FORMULA] greater than , such that [FORMULA] where [FORMULA] and are also natural numbers, then [FORMULA] is said to be the remainder of [FORMULA] on division by . For example, if [FORMULA] = 29 and [FORMULA] = 6, then [FORMULA] = 4 × [FORMULA] + 5, so the remainder of 29 on division by 6 is 5.

More simply, a remainder is the amount left over when one number or algebraic quantity [FORMULA] is divided by another . If [FORMULA] is divisible by [FORMULA] then the remainder is 0. For example, 66 is divisible by 11 because the remainder is 0 (since ). However, when 68 is divided by 11, the remainder is 2, because 68 can be expressed as​ . So, 68 is not divisible by 11.

See also: divisible, factor",divisible; factor,,Mathematics
Response variable,[See: variable],variable,,Mathematics
Revolution (angles),"A full-turn, or one revolution, is the amount of turn required to rotate a ray about its endpoint until the image ray first coincides with the original ray. The measure of 1 revolution is 360 degrees, written 360, or 2π radians.

See also: degree, radian",degree; radian,,Mathematics
Rhombus,"A rhombus is a quadrilateral with all sides being equal.

See also: polygon, quadrilateral",polygon; quadrilateral,rhombus_1.png,Mathematics
Right angle,"A right angle has an angle measure of 90, or one-quarter turn of a full revolution (360). If 2 lines are at a right angle, they may also be referred to as being perpendicular. Examples of some right angles are shown below.

See also: angle, perpendicular, revolution (angles)",angle; perpendicular; revolution (angles),,Mathematics
Right prism,A right prism is a convex polyhedron that has 2 congruent and parallel faces and all remaining faces are congruent rectangles.,,,Mathematics
Rotation,"A rotation is a transformation where each point in the plane is rotated through a given angle about a fixed point (the point of rotation). A rotation turns a figure about a fixed point, called the centre of rotation.

A rotation is specified by:

the centre of rotation O

the angle of rotation

the direction of rotation (clockwise or anticlockwise).

In the first diagram below, the point A is rotated through 120o clockwise about O. In the second diagram, it is rotated through 60° anticlockwise about O.

A rotation is a transformation of the plane that moves each point to its rotation image. The centre of rotation is invariant under this transformation.

See also: transformation",transformation,rotation_1.png,Mathematics
Rotational symmetry,"Rotational symmetry is a quality of some shapes and objects that appear the same when turned around their centre for less than a full turn. For example, a square has quarter-turn rotational symmetry.",,rotational_symmetry_1.png,Mathematics
Rounding,"Rounding is the process for approximating a value that lies between 2 known values by one of these values. In particular, when a measure lies between 2 of the smallest marks on a scale, it is rounded to the nearest value represented by either one of these marks.

Rounding is used to specify a number correct to a given accuracy. With measurements this often means rounding a decimal number.

The decimal expansion of a real number is rounded when it is approximated by a terminating decimal that has a given number of decimal digits to the right of the decimal point.

Rounding to [FORMULA] decimal places is achieved by removing all decimal digits beyond (to the right of) the [FORMULA] digit to the right of the decimal place and adjusting the remaining digits where necessary.

If the first digit removed (the [FORMULA] digit) is less than 5 the preceding digit is not changed. For example, [FORMULA] becomes [FORMULA] when rounded to 3 decimal places.

If the first digit removed is greater than 5, or 5 and some succeeding digit is non-zero, the preceding digit is increased by 1. For example, [FORMULA] becomes [FORMULA] when rounded to 5 decimal places.

Rounding of decimals may also be achieved by rounding to the place value (for example, tenths, hundredths). 16.29 rounded to the nearest tenth of a unit is 16.3, rounded to the nearest unit is 16, rounded to the nearest 5 is 15, and rounded to the nearest ten is 20. The decimal number 57.139 rounded to the nearest hundredth is 57.14 and rounded to the nearest tenth is 57.1. However, 57.199 rounded to the nearest hundredth is 57.200.

Some general principles for rounding are:

if the last digit is a 1, 2, 3 or 4 then the previous digit is left unchanged and the number is said to be rounded down; for example, 296.2 rounded to the nearest integer is rounded down to 296

if the last digit is a 6, 7, 8 or 9 then the previous digit is increased by 1 and the number is said to be rounded up; for example, 296.8 rounded to the nearest integer is rounded up to 297

if the last digit is a 5 then the previous digit can be randomly rounded up or down, especially where several measurements are taken. This avoids cumulative error that would arise from either always rounding up or always rounding down; for example, 296.5 would be randomly rounded to either 296 or 297

if rounding to a given accuracy has a cumulative effect, zeroes should be used to indicate the accuracy; for example, 299.97 rounded to the nearest tenth is 300.0.

It should be noted that several different conventions for rounding a last digit of 5 can be found in the literature, and these relate to different contexts for number computation. In school mathematics, last digits 1, 2, 3 and 4 ‘round down’, and last digits 5, 6, 7, 8 and 9 ‘round up’.",,,Mathematics
Rational fraction,[See: algebraic fraction],algebraic fraction,,Mathematics
Sample,"A sample is a subset of a population. For example, a set of people used for a newspaper survey is a sample of the population.

A random sample is one that is obtained by using a random process for selecting a sample. Samples are used to estimate characteristics of the population. For example, a randomly selected group of eight-year-old children (the sample) might be selected to estimate the incidence of tooth decay in eight-year-old children in Australia (the population).

See also: population",population,,Mathematics
Sampling,"Sampling is the process by which a subset of a population is selected for the purposes of data analysis. This subset is called a sample.

See also: sample",sample,,Mathematics
Sample space,"A sample space is the set of all possible outcomes of a chance experiment. For example, the set of outcomes (also called sample points) from tossing 2 heads is { HH, HT, TH, TT }, where H represents a ‘head’ and T a ‘tail’.

See also: probability",probability,,Mathematics
Scale,"Scale specifies proportion between 2 measures. For example, a model of a house may be made on a 1: 10 scale of length.",,,Mathematics
Scale (measuring scale),"A measuring scale for weight could be based on the extension of a spring in proportion to the mass of an object (each 500 grams could cause an extension 5 cm). The tick marks on the axes of a graph are specified according to some scale. For example, each mark along the horizontal axis might correspond to 5 units, while each mark along the vertical axis might correspond to 2 units. These are then referred to as axes scales.",,,Mathematics
Scatterplot,"A scatterplot is a visual representation of bivariate numerical data. One numerical variable (the independent variable) is measured along the -axis, the other (the dependent variable) along the -axis. Each data point is represented as a coordinate in the plane corresponding to the value it takes for each of the independent and dependent variables.

For example, selected biometric data recording the circumference of a number of Douglas fir trees in the US, and their heights, is recorded below:

The scatterplot of these data, with circumference chosen as the independent variable, is shown below.

See also: bivariate data, numerical data",bivariate data; numerical data,,Mathematics
Scientific notation,"Scientific notation, or standard form, is the notation used in particular to express very small or very large numbers in the form of the product of a decimal number between 1 and 10 (not inclusive) with an integer power of 10 expressed in exponential form.

For example, in scientific notation:

and .

Some technology displays will show these as [FORMULA] and –5 .",,,Mathematics
Secondary data,[See: data],data,,Mathematics
Sector,"A sector is the interior part of a circle formed by 2 radiuses.

See also: angle, circle",angle; circle,,Mathematics
Segment,"A segment is the interior part of a circle formed by a chord.

See also: angle, chord, circle,",angle; chord; circle;,,Mathematics
Sequence (number),"A sequence is an ordered set of elements such as numbers, instructions or objects. From an algorithmic point of view, a sequence is an ordered set of instructions or actions.",,,Mathematics
Set,"‘Set’ is an undefined term that informally corresponds to the notion of a collection of objects or elements.

Sets are usually specified by listing their elements – for example, ; by describing them in words – for example, ‘the set of Australian citizens’; or by using a mathematical rule such as [FORMULA] = {(0, 1), (1, 3), (2, 5), (3, 7) … }.

The power set of a given set is the set of all possible subsets of the given set, including the empty set and the given set itself. For example, if [FORMULA] then the power set, written , is the set .

If there are [FORMULA] elements in the set [FORMULA] then there are [FORMULA] elements in its power set. In this example, [FORMULA] has 3 element and its power set has 23 = 8 elements.

See also: element, empty set, subset, undefined term, universal set",element; empty set; subset; undefined term; universal set,,Mathematics
Set (data set),[See: data],data,,Mathematics
Shadow projection,"A shadow projection is a two-dimensional image formed on a plane surface by the shadow of a three-dimensional object illuminated by a light source: for example, a person’s shadow on the ground on a sunny day. In geometry this usually corresponds to the projections of a shape onto a three-plane surface at right angles to each other, such as front view, side view, top view.

See also: shape, two-dimensional, three-dimensional",shape; two-dimensional; three-dimensional,,Mathematics
Shape (geometry),"A shape is a geometric object or representation of a common real-life object, in two-dimensional space, such as a free-hand closed curve, a triangle, circle, square; or in three-dimensional space (also called solids) such as a blob of playdough, a cube, sphere or pyramid.

See also: polygon, polyhedron",polygon; polyhedron,,Mathematics
Shape (statistics),"The shape of a numerical data distribution refers to its visual representation and is described as symmetric if it is roughly evenly spread around some central point or skewed if it is not. If a distribution is skewed, it can be further described as positively skewed (‘tailing-off’ to the upper end of the distribution) or negatively skewed (‘tailing-off’ to the lower end of the distribution).

These 3 distribution shapes are illustrated in the parallel dot plot display below.

Values

Dot plots, histograms and stem plots can all be used to investigate the shape of a data distribution.

See also: distribution, dot plot, histogram",distribution; dot plot; histogram,shape_statistics_1.png,Mathematics
Side-by-side column graph,"A side-by-side column graph can be used to organise and display the data that arises when a group of individuals or things are categorised according to 2 or more criteria.

For example, the side-by-side column graph below displays the data obtained when 27 children are categorised according to hair type (straight or curly) and hair colour (red, brown, blonde, black). The legend indicates that blue columns represent children with straight hair and red columns children with curly hair.

Side-by-side column graphs are frequently called side-by-side bar graphs or bar charts. In a bar graph or chart, the bars can be either vertical or horizontal.

See also: column graph",column graph,side_by_side_column_graph_1.png,Mathematics
Significant figure,"If a numerical value is expressed in scientific notation (standard form) , where [FORMULA] and  is an integer, then all the digits in  are significant. For example,  has 4 significant figures and has 2 significant figures.

See also: integer, scientific notation",integer; scientific notation,,Mathematics
Similar triangles,"Four sets of conditions for 2 triangles to be similar are as follows:

If 2 angles of one triangle are respectively equal to 2 angles of another triangle, then the 2 triangles are similar.

If the ratio of the lengths of 2 sides of one triangle is equal to the ratio of the lengths of two sides of another triangle, and the included angles are equal, then the 2 triangles are similar.

If we can match up the sides of one triangle with the sides of another so that the ratios of matching sides are equal, then the 2 triangles are similar.

If the ratio of the hypotenuse and one side of a right-angled triangle is equal to the ratio of the hypotenuse and one side of another right-angled triangle, then the 2 triangles are similar.

See also: similarity",similarity,,Mathematics
Similarity,"Two plane figures are called similar if an enlargement of one figure is congruent to the other. That is, if one can be mapped to the other by a sequence of translations, rotations, reflections and enlargements. Similar figures thus have the same shape, but not necessarily the same size.

See also: congruent, enlargement (dilation), rotation, shape, translation",congruent; enlargement (dilation); rotation; shape; translation,,Mathematics
Simple interest,"Simple interest is the interest accumulated when the interest payment in each period is a fixed fraction of the principal. For example, if the principle [FORMULA] earns simple interest at the rate of [FORMULA] per period, then after [FORMULA] periods the accumulated simple interest is .

See also: compound interest",compound interest,,Mathematics
Simulation,"Simulation is the process of modelling an event using various devices or technology. For example, if 2 players are equally likely to win a game of tennis on past performance, then a sequence of games between the 2 players could be simulated by successive tossing of a fair coin (heads player A wins, tails player B wins) or randomly selecting numbers from the list of natural numbers and noting whether the result is even (player A wins) or odd (player B wins). This could be represented using a tree diagram.

See also: tree diagram",tree diagram,,Mathematics
Sine (ratio),"In any right-angled triangle, sin(θ) = [FORMULA] where 0° < θ < 90°

See also: trigonometry",trigonometry,sine_ratio_1.png,Mathematics
Sine rule,"In any triangle ABC,

See also: sine",sine,sine_rule_1.png,Mathematics
Skewness,[See: shape (statistics)],shape (statistics),,Mathematics
Skip counting,"Skip counting is counting from a given starting value using multiples of a fixed natural number. For example, {2, 4, 6, ...} or {7, 12, 17...}.

See also: natural number",natural number,,Mathematics
Solid,"A solid is a geometric object that possesses the three-dimensions of width, height and depth. Examples of solids include a cube, sphere and pyramid.

See also: three-dimensional, polyhedron",three-dimensional; polyhedron,,Mathematics
Spread,"Spread is a statistic that indicates how widely the values of a data set are distributed. Common measures of spread include range, interquartile range, quantiles and percentiles and mean (average).

See also: mean, interquartile range (IQR), percentile, quantile (statistics), range",mean; interquartile range (IQR); percentile; quantile (statistics); range,,Mathematics
Square,"A square is a quadrilateral that is both a rectangle and a rhombus.

A square thus has all the properties of a rectangle, and all the properties of a rhombus.

See also: polygon, quadrilateral",polygon; quadrilateral,square_1.png,Mathematics
Square number,"An element of the set {1, 4, 9, 16, 25 ...}. A square number has an odd number of distinct elements in its factor set. For example, the factor set of 16 has 5 distinct elements: {1, 2, 4, 8, 16}. The first 4 of these numbers can be represented as dots that form a square array as shown:

See also: odd number, perfect square",odd number; perfect square,,Mathematics
Square root,"The positive square root of a given real number [FORMULA] is the positive real number [FORMULA] such that . For example, the positive square root of 9 is 3. This is written symbolically as .

Originally, the square root was taken to refer to the side length (root) of a square whose area was a given positive number. Thus, a square of area 9 square units has a side length (square root) of 3 units.

Most square roots are not rational numbers but irrational real numbers. For example, a square of area 2 has an exact side length of the square root of , or . This is approximately 1.4 units in length.

Every positive real number has 2 square roots, one positive and one negative: for example, the square roots of 9 are 3 and −3. The negative square root is written as . as. In general, for a non-negative real number ,.

See also: irrational number, non-negative integer",irrational number; non-negative integer,,Mathematics
Square root of 2,"The square root of 2 is the irrational number, , whose value corresponds to the length of the diagonal of a unit square.

Its approximate value is 1.414 correct to 3 decimal places.

The decimal expansion for the square root of 2 correct to 200 significant figures is:

1.4142135623730950488016887242096980785696718753769480731766797379907324784621070388503875343276415727350138462309122970249248360558507372126441214970999358314132226659275055927557999505011527820605715

The digits in this decimal expansion do not display any recurring pattern, a property that distinguishes irrational numbers from rational numbers.

See also: irrational number, square root",irrational number; square root,square_root_of_2_1.gif,Mathematics
Standard deviation,"Standard deviation is a measure of the variability or spread of a data set. It gives an indication of the degree to which the individual data values are spread around their mean (average).

See also: mean",mean,,Mathematics
Standard unit,"A standard unit is a formal unit from a system of units that is comprehensive and is used to define other units or combinations of units. For example, in the metric system, the standard units for length, mass and time are respectively, metre, kilogram and second. The standard units are described in the International System of Units (SI). Related formal units are:

centimetre = metre × 1/100 
tonne = kilogram × 1 000 
minute = second × 60.

Other non-standard formal units are, for example, carat, gallon, hour and knot.",,,Mathematics
Statistical investigation,"A statistical investigation is an investigation process involving a chosen context, area of interest or an identified problem scenario, identifying the subjects and variables to be investigated, planning the approach, collecting data, representing, interpreting and analysing the data, making inferences and communicating the results of the investigation in terms of the context.",,,Mathematics
Stem-and-leaf plot (stemplot),"A stem-and-leaf plot is a method of organising and displaying numerical data in which each data value is split in to 2 parts, a ‘stem’ and a ‘leaf’. Stem plots provide a visual indication of spread. For example, the stem-and-leaf plot below displays the resting pulse rates (in beats per minute) of 19 students.

Key : 11|0 = 110 beats per minute

In this plot, the stem unit is ‘10’ and the leaf unit is ‘1’. The top row in the plot, 6 | 8 8 8 9, displays pulse rates of 68, 68, 68 and 69.

A back-to-back stem-and-leaf plot is a method for comparing 2 data distributions by attaching 2 sets of ‘leaves’ to the same ‘stem’ in a stem-and-leaf plot. For example, the stem-and-leaf plot below displays the distribution of pulse rates of 19 students before and after gentle exercise.",,"stem_and_leaf_plot_stemplot_1.png,stem_and_leaf_plot_stemplot_2.png",Mathematics
Straight angle,"A straight angle is the angle formed by taking a ray and its opposite ray. A straight angle is half of a revolution, and so has size equal to 180° or π radians.

See also: degree, radian",degree; radian,straight_angle_1.png,Mathematics
Subitising,Subitising is the capacity to visually recognise the size of a small set of objects without counting.,,,Mathematics
Subset,"A subset is a set of elements A all contained within some larger set B. A is a subset of B if and only if every element of A is also an element of B, expressed . The subset A in this situation may also coincide with the set B itself, that is, .

A is a proper subset of B (written ) if all elements of A are contained within B but A excludes at least one element of B, so that it cannot coincide with B itself. If A is not a subset of B, it is expressed . For example, for the sets , [FORMULA] and , [FORMULA] 
while .

See also: inclusion (subset), set",inclusion (subset); set,,Mathematics
Subtraction,"Subtraction is one of the basic operations of arithmetic and algebra and involves the combination of 2 or more quantities using the [FORMULA] operator.

For example, , [FORMULA] , , .

Subtraction is the inverse operation to addition and can be defined in terms of addition, such that if [FORMULA] then [FORMULA] and . [FORMULA] For example, if 13 = 9 + 4 then 13 – 9 = 4 and 13 – 4 = 9.

Subtraction may be defined more formally depending on the context. For example:

Subtraction of real numbers may be modelled using lengths of joined line segments on a number line.

The addition of 2 fractions is defined by introducing a common denominator, that is:

.

See also: addition, inverse operation",addition; inverse operation,,Mathematics
Sum,"A sum is the result of adding several numbers or algebraic expressions. For example,
 [FORMULA] are sums.

The symbol [FORMULA] can be used to indicate a sum where each term can be described by an algebraic expression. For example, the mean (average) [FORMULA] defined as:

can also be written using sum notation as:

See also: addition",addition,,Mathematics
Supplementary angles,"Two adjacent angles that form a straight angle are said to be supplementary angles. The sum of the angle measures in degrees of supplementary angles is 180 (a straight angle). An example of 2 supplementary angles is shown below.

See also: complementary angles",complementary angles,supplementary_angles_1.png,Mathematics
Surd,"A surd is a numerical expression involving one or more irrational roots of numbers. Examples of surds include , [FORMULA] and .

See also: irrational number",irrational number,,Mathematics
Surface area,"Surface area is the measure of the total area of the surface(s) of a three-dimensional shape or object. For example, the surface area of a cube with side length units is [FORMULA] square units. The surface area of a sphere with radius [FORMULA] units is [FORMULA] square units.",,,Mathematics
Survey,"A survey is a tool for collecting data that comprises a series of questions, which can be constructed to collect quantitative or qualitative data, numerical or categorical responses.",,,Mathematics
Symbolic,"Symbolic means using marks or symbols that have a meaning particular to mathematical language. For example, the written statement ‘2 is less than 3’ can be written symbolically as 
‘’.",,,Mathematics
Symmetry (and asymmetry),"Symmetry is a visual property of regularity in shape by, for example, reflection or rotation. The letter T is symmetrical by reflection, the letter Z is symmetrical by rotation, the letter H is symmetrical by both reflection and rotation, but the letter R is not symmetrical.

A plane figure F has line symmetry in a line [FORMULA] if the image of F under the reflection in [FORMULA] is F itself. The line [FORMULA] is called the axis of symmetry.

A plane figure F has rotational symmetry about a point O if there is a non-trivial rotation such that the image of F under the rotation is F itself.

A rotation of 120o around O maps the equilateral triangle onto itself.

Shapes that are not symmetrical are said to be asymmetrical.  The human body is asymmetrical with respect to an imaginary line down the middle.

See also: reflection, rotation",reflection; rotation,"symmetry_and_asymmetry_1.png,symmetry_and_asymmetry_2.png",Mathematics
Tangent (geometry),"A tangent to a curve at a point is a line that touches but does not cut a curve at that point. Two tangents are shown in the following diagram:

In the special case of a circle, a tangent is a line that intersects a circle at just one point. It touches the circle at that point of contact but does not pass inside it. A tangent to a circle is perpendicular to the diameter that contains the point, as show below:

See also: circle, diameter",circle; diameter,,Mathematics
Tangent (ratio),"In any right-angled triangle, [FORMULA]  where

See also: trigonometry",trigonometry,tangent_ratio_1.png,Mathematics
Tangram,A tangram is Chinese puzzle formed by a square cut into several pieces that are then rearranged to create other shapes. An example of an uncut tangram is shown below.,,tangram_1.png,Mathematics
Term,"A term is a product of a constant (coefficient) and variables raised to positive integer powers. For example, [FORMULA] is a term (variables [FORMULA] and , coefficient ).

See also: coefficient",coefficient,,Mathematics
Terminating decimal,"A terminating decimal is a decimal that contains only finitely many non-zero decimal digits.

Every terminating decimal represents a rational number where the denominator is a power of . For example, [FORMULA] is the decimal representation of

See also: rational number",rational number,,Mathematics
Tessellation (tiling),"A tessellation is a repeated pattern in the plane or on a surface where shapes completely fill all the space around a given point where their boundaries meet. For example, a honeycomb is a tessellation using hexagons. Tiling patterns are tessellations using rectangular tiles or brick pavers in paths, mosaics in buildings, quilts and art.

A regular tessellation is created by tessellating regular polygons. If more than one regular polygon is used, it is a semi-regular tessellation. Examples of a regular tessellation of hexagons, and a semi-regular tessellation of triangles, hexagons and squares, are shown below.

See also: polygon",polygon,"tessellation_tiling_1.png,tessellation_tiling_2.png",Mathematics
Theorem,"A mathematical statement that has been shown to be true by proof is called a theorem.

See also: proof",proof,,Mathematics
Three-dimensional,"An object with width, height and depth is three-dimensional. A solid is any three-dimensional geometric object (such as the platonic solids).

See also: two-dimensional",two-dimensional,,Mathematics
Three-dimensional coordinate system,"A three-dimensional coordinate system is a coordinate system where any point in the space is defined using 3 different dimensions: for example, longitude, latitude and altitude for locating the position of a drone in the sky.",,three_dimensional_coordinate_system_1.png,Mathematics
Time zones,"The 24 divisions of the globe, where each change of 15 degrees longitude corresponds to one hour, are referred to as time zones. As time zones often align with national or regional boundaries, this is an approximate relationship.",,,Mathematics
Transformation,"A transformation is a map of the plane onto itself. The transformations included in this glossary are enlargements or scaling (dilations), reflections, rotations and translations. These are one-to-one transformations of the plane onto itself.

A transformation is said to be an isometry if it leaves lengths, area and angles unchanged. Reflections, rotations and translations are isometries, dilations are not isometries.

See also: correspondence, enlargement (dilation), reflection, rotation, scale, translation",correspondence; enlargement (dilation); reflection; rotation; scale; translation,,Mathematics
Translation,"Shifting a figure in the plane without turning it is called translation. Translations can be specified as a combination of a horizontal shift and a vertical shift.

See also: transformation",transformation,,Mathematics
Transversal,"A transversal is a line that intersects 2 other lines obliquely.

See also: alternate angle, corresponding angles, co-interior angle",alternate angle; corresponding angles; co-interior angle,transversal_1.png,Mathematics
Trapezium,"A trapezium is a quadrilateral with one pair of opposite sides parallel.

A right-trapezium has 2 right angles. The following are examples of a right-trapezium:

See also: parallel, quadrilateral",parallel; quadrilateral,"trapezium_1.png,trapezium_2.png,trapezium_3.png,trapezium_4.png",Mathematics
Tree diagram,"A diagram consisting of line segments (edges) connected to points (vertices) like the branches and twigs of a tree, a tree diagram is used to indicate the relationship between sets or events: for example, a family tree.

Tree diagrams can also be used to represent the set of outcomes of a multi-step random experiment: for example, listing the possible outcomes when a coin is tossed twice as shown below.

See also: edge, vertex",edge; vertex,tree_diagram_1.png,Mathematics
